2 U.S. 401|West v. Barnes|2|401|1791-08-17
2 U.S. 401|Vanstophorst v. Maryland|2|401|1791-08-17
2 U.S. 401|Oswald v. New York|2|401|1792-02-14
2 U.S. 402|Oswald v. New York|2|402|1792-08-17
2 U.S. 402|Georgia v. Brailsford|2|402|1792-08-11
2 U.S. 409|Hayburn's Case|2|409|1792-08-11
2 U.S. 415|Oswald v. New York|2|415|1793-02-20
2 U.S. 415|Georgia v. Brailsford|2|415|1793-02-20
2 U.S. 419|Chisholm v. Georgia|2|419|1793-02-19
3 U.S. 1|Georgia v. Brailsford|3|1|1794-02-17
3 U.S. 6|Glass v. Sloop Betsey|3|6|1794-02-18
3 U.S. 17|United States v. Hamilton|3|17|1795-02-20
3 U.S. 19|Bingham v. Cabbot|3|19|1795-03-17
3 U.S. 42|United States v. Lawrence|3|42|1795-03-17
3 U.S. 54|Penhallow v. Doane's Administrators|3|54|1795-02-24
3 U.S. 121|United States v. Peters|3|121|1795-08-24
3 U.S. 133|Talbot v. Janson|3|133|1795-08-22
3 U.S. 171|Hylton v. United States|3|171|1796-03-17
3 U.S. 184|Hills v. Ross|3|184|1796-02-26
3 U.S. 188|McDonough v. Dannery|3|188|1796-02-17
3 U.S. 199|Ware v. Hylton|3|199|1796-03-17
3 U.S. 285|Geyer v. Michel|3|285|1796-03-14
3 U.S. 297|United States v. La Vengeance|3|297|1796-08-11
3 U.S. 302|Cotton v. Wallace|3|302|1796-08-17
3 U.S. 305|Hunter v. Fairfax's Devisee|3|305|1796-08-17
3 U.S. 306|Arcambel v. Wiseman|3|306|1796-08-12
3 U.S. 307|Moodie v. Ship Alfred|3|307|1796-08-17
3 U.S. 308|Olney v. Arnold|3|308|1796-08-11
3 U.S. 319|Moodie v. Ship Phoebe Anne|3|319|1796-08-17
3 U.S. 320|Grayson v. Virginia|3|320|1796-08-12
3 U.S. 321|Wisecart v. Dauchy|3|321|1796-08-12
3 U.S. 331|Hills v. Ross|3|331|1796-08-12
3 U.S. 333|Del Col v. Arnold|3|333|1796-08-11
3 U.S. 336|Jennings v. Brig Perseverance|3|336|1797-02-13
3 U.S. 339|Huger v. South Carolina|3|339|1797-02-10
3 U.S. 342|Clerke v. Harwood|3|342|1797-02-11
3 U.S. 344|Brown v. Van Braam|3|344|1797-02-13
3 U.S. 357|Fenemore v. United States|3|357|1797-08-17
3 U.S. 365|Brown v. Barry|3|365|1797-08-15
3 U.S. 369|Emory v. Grenough|3|369|1798-02-14
3 U.S. 371|Hamilton v. Moore|3|371|1797-08-15
3 U.S. 378|Hollingsworth v. Virginia|3|378|1798-02-14
3 U.S. 382|Bingham v. Cabot|3|382|1798-02-14
3 U.S. 384|Jones v. Le Tombe|3|384|1798-02-17
3 U.S. 386|Calder v. Bull|3|386|1798-08-17
3 U.S. 401|Wilson v. Daniel|3|401|1798-08-17
3 U.S. 409|Dewhurst v. Coulthard|3|409|Feb.term 1799
3 U.S. 410|Ex Parte Hollowell|3|410|1799-02-17
3 U.S. 411|Fowler v. Lindsey|3|411|1799-02-19
3 U.S. 415|Clarke v. Russel|3|415|1799-02-19
3 U.S. 425|Sims Lessee v. Irvine|3|425|1799-02-19
4 U.S. 1|New York v. Connecticut|4|1|1799-08-17
4 U.S. 3|New York v. Connecticut|4|3|1799-08-17
4 U.S. 6|New York v. Connecticut|4|6|1799-08-17
4 U.S. 6|Hazlehurst v. United States|4|6|1799-08-17
4 U.S. 7|Turner v. Enrille|4|7|1799-08-17
4 U.S. 8|Turner v. Bank of North-America|4|8|1799-08-17
4 U.S. 12|Mossman v. Higginson|4|12|1800-08-11
4 U.S. 14|Cooper v. Telfair|4|14|1800-02-13
4 U.S. 20|Williamson v. Kincaid|4|20|1800-02-13
4 U.S. 21|Blair v. Miller|4|21|Feb.term 1800
4 U.S. 22|Rutherford v. Fisher|4|22|1800-02-18
4 U.S. 22|Blaine v. Ship Charles Carter|4|22|1800-02-18
4 U.S. 22|Course v. Stead|4|22|1800-02-18
4 U.S. 28|Priestman v. U.S|4|28|1800-08-15
4 U.S. 34|Talbot v. Ship Amelia|4|34|1800-08-15
4 U.S. 37|Bas v. Tingy|4|37|1800-08-15
5 U.S. 1|Talbot v. Seeman|5|1|1801-08-11
5 U.S. 45|Wilson v. Mason|5|45|1801-12-15
5 U.S. 103|United States v. Schooner Peggy|5|103|1801-12-21
5 U.S. 110|Resler v. Shehee|5|110|1801-12-11
5 U.S. 117|Turner v. Fendall|5|117|1801-12-21
5 U.S. 137|Marbury v. Madison|5|137|1803-02-24
5 U.S. 181|Clark v. Robert Young & Co|5|181|1803-02-17
5 U.S. 194|Wilson v. Lenox|5|194|1803-02-26
5 U.S. 212|Clarke v. Bazadone|5|212|1803-02-17
5 U.S. 214|Hooe & Co. v. Groverman|5|214|1803-02-23
5 U.S. 239|Wood v. Owings|5|239|1803-03-18
5 U.S. 252|United States v. Simms|5|252|1803-02-23
5 U.S. 259|Fenwick v. Sears's Administrators|5|259|1803-02-25
5 U.S. 282|Thompson v. Jameson|5|282|1803-02-26
5 U.S. 290|Mandeville v. Joseph Riddle & Co|5|290|1803-02-26
5 U.S. 299|Stuart v. Laird|5|299|1803-03-18
5 U.S. 309|Hamilton v. Russel|5|309|1803-02-28
5 U.S. 318|United States v. Hooe|5|318|1803-02-25
5 U.S. 321|Hepburn v. Auld|5|321|1803-02-28
5 U.S. 332|Marine Ins. Co. of Alexandria v. Young|5|332|1803-03-18
5 U.S. 343|Abercrombie v. Dupuis|5|343|1803-02-28
5 U.S. 343|Lindo v. Gardner|5|343|1803-02-28
5 U.S. 345|Hodgson v. Dexter|5|345|1803-03-18
5 U.S. 365|Lloyd v. Alexander|5|365|1803-02-10
6 U.S. 9|Wood v. Wagnon|6|9|1804-02-18
6 U.S. 9|Williams v. Lyles|6|9|1804-02-18
6 U.S. 10|Faw v. Marsteller|6|10|1804-02-14
6 U.S. 33|Ogle v. Lee|6|33|1804-02-22
