citing,cited
2812209,945737
3162143,2959735
3183080,620666
3168777,2801434
3177197,858086
3177197,802771
3177197,820748
3170727,858085
3177199,2959737
3181481,2670966
149702,145777
2959737,146790
3187538,625709
3187537,821432
3187537,219618
3189783,2654756
112311,112310
3191118,931122
3191118,813289
3191117,2670965
3191117,2641235
3191117,182992
3195444,3171727
3195444,2795279
3195092,2812210
3195092,3177199
3195092,820897
3195890,902264
3195890,899483
3195891,2959749
3195891,931614
3195891,2788983
3197746,931121
3197746,2672209
3203656,2678466
3203656,821306
3204918,2797291
3203655,182514
3205767,932061
3205767,2788983
3203624,820904
3207861,625847
3207860,205316
3207860,820895
3212516,2671723
3212516,2671724
2671724,2671723
3212515,3181482
3212515,2803250
3214780,2654756
3214780,2797291
3214780,2679203
3214778,858289
3216389,931125
3216391,858288
3216391,2680439
3216391,873669
3216388,903971
3217227,2657927
3217277,903971
105221,94508
105221,103109
105221,104493
105221,104804
105221,104805
3177200,2959737
