pk 	 fp 	 name
9359 	 financial-disclosures/2014/R-Z/Swank-KA. MP. 04. NCE_SPE_R_14.tiff 	 xx
xxx 	 financial-disclosures/2014/R-Z/Sweeney-MM J1. CC.--SIA_R_14.tiff 	 Margaret M Sweeney
3142 	 financial-disclosures/2014/R-Z/Sutton-JS J3. 06_R_14.tiff 	 xx
3144 	 financial-disclosures/2014/R-Z/Swain-LT J3. 02 NYS_SPE_ R_14.tiff 	 xx
8943 	 financial-disclosures/2014/R-Z/Taddonio-GL B. 03. PAW_R_14.tiff 	 xx
9121 	 financial-disclosures/2014/R-Z/Tafoya-KM M. 10. CO_R_14.tiff 	 xx
3150 	 financial-disclosures/2014/R-Z/Sweet-RW J3. 02. NYS_R_14.tiff 	 xx
3156 	 financial-disclosures/2014/R-Z/Sykes-DS J3. 07_R_14.tiff 	 xx
3159 	 financial-disclosures/2014/R-Z/Tagle-HG J3. 05. TXS_R_14.tiff 	 xx
xxx 	 financial-disclosures/2014/R-Z/Tallman-HR B. 10. CO_R_14.tiff 	 Howard R Tallman
3360 	 financial-disclosures/2012/S-Z/Walter-DE. J3. 05. LAW resp_R_12/Walter-DE. J3. 05. LAW resp_R_12_Page_04.tiff 	 xx
3360 	 financial-disclosures/2012/S-Z/Walter-DE. J3. 05. LAW resp_R_12/Walter-DE. J3. 05. LAW resp_R_12_Page_05.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_58.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_57.tiff 	 xx
8741 	 financial-disclosures/2012/S-Z/Walrath- MF. B. 03. DE  _12.tiff 	 xx
9069 	 financial-disclosures/2012/S-Z/Walsh-PJ B. 03. DE   _12.tiff 	 xx
3354 	 financial-disclosures/2012/S-Z/Wallach-EJ. J3. FC.   _12.tiff 	 xx
3356 	 financial-disclosures/2012/S-Z/Walls-WH. J3. 03. NJ  _12.tiff 	 xx
